A-bomb Atombombe
swards Grasnarben
swarm Schwarm
swarms Schwaerme
swarthiness Dunkelheit
swashbuckler Saebelrassler
swastika Hakenkreuz
swastikas Hakenkreuze
swath Schwaden
swathes Schwaden
swaths Schwaden
swatter Fliegenklatsche
swearing Fluchen
swearword Fluchwort
swearwords Fluchwoerter
sweat Schweiss
sweatband Schweissleder
sweatbox Schwitzkasten
sweatboxes Schwitzkaesten
sweater Pullover
sweaters Pullover
sweatshop Ausbeutungsbetrieb
sweatshops Ausbeutungsbetriebe
swede Kohlruebe
sweeper Kehrer
sweepers Kehrer
sweepstakes Lotto
sweetbread Brieschen
sweetener Suessstoff
sweeteners Suessstoffe
sweetening Suessungsmittel
sweetheart Liebling
sweethearts Liebsten
sweetie Maedchen
sweetmeat Bonbon
sweetmeats Bonbons
sweetness Lieblichkeit
sweetpotato Suesskartoffel
sweets Suessigkeiten
swell Schwellen
swelling Schwellung
swellings Geschwuelste
swells Schwaelle
swiftness Schnelligkeit
swill Gesoeff
swills Gesoeffe
swimmer Schwimmer
swimming Schwimmen
swimsuit Badeanzug
swimsuits Badeanzuege
swindle Betruegerei
swindler Betrueger
swindles Betruegereien
swine Schwein
swineherd Schweineherde
swineherds Schweineherden
swines Schweine
swing Schaukel
swings Schaukeln
swinishness Schweinerei
switch Schalter
switchback Achterbahn
switchbacks Achterbahnen
switchblade Messer
switchboard Schaltbrett
switcher Schalter
switches Schalter
switchgear Schaltanlage
switchings Umschaltungen
switchman Weichensteller
switchmen Weichensteller
switchpoint Programmschalter
switchyard Verschiebebahnhof
switchyards Verschiebebahnhoefe
swivel Drehlager
swoon Ohnmacht
sword Schwert
swordcane Stockdegen
swordfish Schwertfisch
swordfishes Schwertfische
swordplay Fechten
swords Schwerter
swordsman Fechter
swordsmanship Fechtkunst
swordsmen Fechter
sybarite Schlemmer
sycophancy Kriecherei
sycophant Kriecher
sycophants Kriecher
syllabi Auszuege
syllabication Silbentrennung
syllable Silbe
syllables Silben
syllabus Auszug
syllabuses Auszuege
syllogisms Vernunftschluesse
sylph Luftgeist
symbiosis Symbiose
symbol Zeichen
symbolism Symbolik
symbolization Versinnbildlichung
symbols Symbole
symmetries Symmetrien
symmetry Symmetrie
sympathies Sympathien
sympathizer Sympathisant
sympathizers Sympathisanten
sympathy Sympathie
symphonies Sinfonien
symphony Sinfonie
symposia Gastmahl
symposium Symposium
symptom Merkmal
symptoms Symptome
synagogue Synagoge
synagogues Synagogen
synapse Synapse
synchonization Synchronisierung
synchromesh Synchrongetriebe
synchronism Gleichlauf
synchronization Gleichlauf
synchronousness Gleichseitigkeiten
syncopation Synkopierung
syncopations Synkopierungen
syncope Synkope
syndicate Arbeitsgemeinschaft
syndicates Syndikate
syndication Syndikatsbildung
syndications Syndikatsbildungen
syndrome Syndrom
syndromes Syndrome
synergy Synergie
synod Synode
synods Synoden
synopses Uebersichten
synopsis Uebersicht
syntax Satzbau
syntaxes Satzbauten
syntheses Synthesen
synthesis Synthese
synthesizer Sprachgenerator
synthetic Kunststoff
synthetics Kunststoffe
syntony Resonanz
syphilitic Syphilitiker
syphilitics Syphilitiker
syringe Spritze
syringes Spritzen
syrup Sirup
syrups Zuckersaefte
sysop Computersystemoperateur
sysops Computersystemoperateure
system System
systematics Systematik
systematization Systematisierung
systematizations Systematisierungen
systemic Koerper
systems Systeme
systole Systole
systoles Systolen
systrophe Wiederholung
tab Streifen
tabacconist Zigarrenhaendler
tabacconists Zigarrenhaendler
tabard Wappenrock
tabards Wappenroecke
tabbies Katzen
tabby Katze
tabernacle Stiftshuette
tabernacles Stiftshuetten
table Tisch
table-track Fuehrungsschiene
tableau Bild
tableaus Bilder
tablecloth Tischtuch
tablecloths Tischdecken
tableland Tafelland
tablelands Tafellaender
tables Tabellen
tablespoon Essloeffel
tablespoons Essloeffel
tablet Tablette
tabletop Geraet
tablets Tabletten
tableware Tischgeschirr
tabloid Tablette
taboo Tabu
taboos Tabus
tabors Tamburine
tabs Tabulatoren
tabulations Tabellen
tabulator Tabelliermaschine
tachograph Fahrtenschreiber
tachographs Fahrtenschreiber
tachometer Drehzahlmesser
tachymeter Schnellmesser
tacitness Stillheit
taciturnity Verschlossenheit
tack Stift
tackiness Vulgaeritaet
tackle Geraet
tackles Geraete
tacks Stifte
tact Takt
tactfulness Feingefuehl
tactic Taktik
tactician Taktiker
tacticians Taktiker
tactics Taktik
tactility Fuehlbarkeit
tactlessness Taktlosigkeit
tacts Takte
tadpole Kaulquappe
tadpoles Kaulquappen
taffeta Taft
taffetas Tafte
taffies Schmeicheleien
taffy Schmeichelei
tag Anhaenger
tail Ende
tailback Stau
tailing Beschattung
taillight Schlusslicht
taillights Schlusslichter
tailor Schneider
tailoring Schneiderei
tailorings Schneidereien
tailors Schneider
tailpiece Saitenhalter
tails Schwaenze
Taiwan Taiwan
take-off Absprung
take-up Aufwickel
takeoffs Abfluege
takeover Machtergreifung
takeovers Machtergreifungen
taker Kunde
takers Mitspieler
taking Einnahme
takings Aufregungen
talc Talk
tale Geschichte
talebearer Zwischentraeger
talebearers Zwischentraeger
talent Anlage
talented Nachwuchs
talents Begabungen
tales Geschichten
talismans Talismane
talk Gespraech
talkativeness Geschwaetzigkeit
talker Sprecher
talkers Erzaehler
talkie Tonfilm
talkies Tonfilme
talks Gespraeche
tallness Laenge
tally Zaehler
talon Abriss
talons Erneuerungsscheine
tamarack Tamarakholz
tamarind Tamarinde
tamarinds Tamarinden
tambour Stickrahmen
tambourine Tamburin
tambourines Tamburine
tameness Zahmheit
tamer Baendiger
tamers Baendiger
tamper Pfeifenstopfer
tandem Reihe
tangent Tangente
tangents Beruehrungslinien
tangerine Mandarine
tangerines Mandarinen
tangibility Greifbarkeit
tangibleness Fuehlbarkeit
tangle Durcheinander
tango Tango
tangoes Tangos
tank Panzer
tankage Fleischmehl
tankard Krug
tankards Kannen
tanker Tanker
tankers Tanker
tanner Gerber
tanneries Gerbereien
tanners Gerber
tannery Gerberei
tannin Tannin
tantalization Quaelen
tantalum Taltal
tantrum Koller
tantrums Koller
Tanzania Tansania
tap Fass
tapBrit Gas-
tapdance Stepptanz
tape Band
tapering Zuspitzung
tapes Baender
tapestries Tapisserieware
tapestry Gobelin
tapeworm Bandwurm
tapeworms Bandwuermer
tappet Mitnehmer
taproom Schankstube
taprooms Schankstuben
taproot Pfahlwurzel
taproots Pfahlwurzeln
tar Teer
tarantula Tarantel
tarantulas Taranteln
tarboard Teerpappe
tarboards Teerpappen
tardiness Langsamkeit
tare Tara
target Ziel
targets Ziele
tariffs Tarife
tarot Tarock
tarpaulin Oelzeug
tarsal Fusswurzel
tart Torte
tartan Tartan
tartaric Wein
tartness Saeure
tarts Torten
task Amt
taskalotted Pensum
taskmaster Arbeitgeber
tasks Aufgaben
taste Geschmack
tastefulness Geschmack
tastelessness Geschmacklosigkeit
tastes Geschmaecker
tastiness Schmackhaftigkeit
tatar Tatar
tattler Schwaetzer
tauruses Stiere
tautness Straffheit
tautologies Doppelaussagen
tautology Doppelaussage
tavern Kneipe
taverns Kneipen
taw Ausgangslinie
tawdriness Flitterhaftigkeit
tawer Weissgerber
tawers Weissgerber
tawniness Gelbbraun
taws Ausgangslinien
tax Steuer
taxation Besteuerung
taxations Besteuerungen
taxes Steuern
taxi Taxi
taxicab Taxi
taxicabs Taxis
taxidermist Praeparator
taxidermists Praeparatoren
taxidermy Taxidermie
taximeter Taxameter
taximeters Taxameter
taxing Steuerfestsetzung
taxonomy Taxonomie
taxpayer Steuerzahler
taxpayers Steuerzahler
tea Tee
teacher Lehrer
teachers Lehrer
teachings Lehre
teachware Ausbildungsmethoden
teacup Teetasse
teacupful Teetassevoll
teacups Teetassen
teak Teak
teakettle Teekessel
teakwood Teakholz
teal Krickente
teals Krickenten
team Mannschaft
teammate Arbeitskollege
teammates Mitspieler
teams Mannschaften
teamster Lastwagenfahrer
teamsters Mannschaftsfuehrer
teamwork Gemeinschaftsarbeit
teapot Teekanne
teapots Teekannen
tear Traene
teardrop Traene
teardrops Traenen
tearfulness Trauigkeit
teargas Traenengas
teariness Trauer
tearjerker Schnulze
tearjerkers Schnulzen
tearoom Teestube
tearooms Teestuben
tears Traenen
teasel Karde
teasels Karden
teasing Stichelei
teaspoon Loeffel
teaspoonful Teeloeffelvoll
teaspoons Loeffel
teat Brustwarze
teats Brustwarzen
technicalities Formsachen
technicality Formsache
technican Fachmann
technician Techniker
technicians Techniker
technicolor Farbfilm
technics Technik
technique Verfahren
techniques Techniken
technocracy Technokratie
technocrat Technokrat
technocrats Technokraten
technologies Techniken
technologist Technologe
technologists Technologen
technology Technik
tectonics Tektonik
teddies Teddybaeren
teddy Teddybaer
tediousness Langweiligkeit
tedium Langeweile
tee Markierung
teenager Jugendliche
teenagers Jugendlichen
teenicider Autowildling
teens Flegeljahre
teenyboppers Jugendlichen
tees Merkmale
teeth Zaehne
teetotaler Abstinenzler
teetotalers Abstinenzler
teetotalism Abstinenz
teetotaller Abstinenzler
teetotallers Abstinenzler
teflon Teflon
teleautogram Bildtelegramm
teleautograph Bildfernschreiber
teleautography Bildfernschreiben
telecamera Fernsehkamera
telecast Fernsehsendung
telecaster Ansage
telecasts Fernsehsendungen
telecommand Fernsteuern
telecommunication Fernmeldetechnik
telecommunications Fernmeldetechnik
telecommuting Telearbeit
telecontrol Fernsteuerung
telecopier Fernkopiergeraet
telecopy Fernkopie
telecopying Fernkopieren
telecourse Fernlehrgang
telecourses Fernlehrgaenge
telediagnosis Ferndiagnose
telegram Telegramm
telegrams Telegramme
telegraph Telegraf
telegrapher Telegraphist
telegraphers Telegraphisten
telegraphese Telegrammstil
telegraphist Telegraphist
telegraphists Telegraphisten
telegraphs Telegrafen
telegraphy Telegrafie
teleguidance Fernbedienung
telemeter Fernmessgeraet
telemetering Fernmessung
telemetry Fernmesstechnik
telemonitor Fernueberwachungsgeraet
teleology Teleologie
telepathies Gedankenuebertragungen
telepathy Gedankenuebertragung
telephone Telefon
telephonee Angerufene
telephoner Anrufer
telephones Telefone
telephony Fernsprechwesen
telephote Fernkamera
telephoto Telebild
telephotograph Telebild
telephotographs Fernbilder
teleprinter Fernschreiber
teleprinters Fernschreiber
teleprocessing Datenfernverarbeitung
telescope Fernrohr
telescopes Fernrohre
telescreen Bildschirm
telescriptor Briefbildsender
teleseme Zeichengeber
teleshopping Bestellung
telestation Fernsehsender
telethon Telethon
teletype Fernschreiber
teletypes Fernschreiber
teletypewriter Fernschreibgeraet
teletypewriters Fernschreibmaschinen
teletypist Fernmaschinenschreiber
televiewer Fernsehteilnehmer
television Fernsehen
telex Fernschreiben
teller Erzaehler
tellers Erzaehler
telltale Klatschbase
telltales Klatschbasen
telpher Aktenfoerderbahn
temerities Unbesonnenheiten
temerity Kuehnheit
temper Stimmung
tempera Temperafarbe
temperament Temperament
temperaments Temperamente
temperance Maessigkeit
temperances Maessigungen
temperas Temperafarben
temperateness Gemaessheit
temperature Temperatur
temperatures Temperaturen
tempers Launen
tempest Sturm
tempests Gewitter
tempestuousness Heftigkeit
template Schablone
templates Schablonen
temple Tempel
temples Tempel
temporalness Weltlichkeit
temporariness Zeitweiligkeit
temporary Zwischen
temporizer Opportunist
temporizers Opportunisten
temporo Schlaefen
tempos Tempi
temptation Versuchung
temptations Verlockungen
tempter Versucher
temptress Versucherin
temptresses Versucherinnen
tenability Haltbarkeit
tenableness Haltbarkeiten
tenaciousnes Zaehigkeit
tenaciousness Zaehigkeiten
tenacities Verlaesslichkeiten
tenacity Zuverlaessigkeit
tenancies Mietverhaeltnisse
tenancy Mietverhaeltnis
tenant Mieter
tenantries Paechter
tenants Paechter
tendance Neigung
tendances Tendenzen
tendencies Tendenzen
tendency Absicht
tender Angebot
tenderer Anbieter
tenderfeet Anfaenger
tenderfoot Unerfahrene
tenderfoots Unerfahrenen
tenderheartedness Weichherzigkeit
tenderloin Filet
tenderloins Filets
tenderness Zaertlichkeit
tendernesses Zaertlichkeiten
tendon Sehne
tendons Sehnen
tendril Ranke
tendrils Ranken
tenement Wohnung
tenements Wohnungen
tenet Lehre
tenets Lehren
tennis Tennis
tenor Tenor
tenors Inhalte
tenpin Kegel
tenseness Straffheit
tenses Zeiten
tensibility Dehnbarkeit
tension Spannung
tensions Spannungen
tensor Spannmuskel
tensors Spannmuskeln
tent Zelt
tentacle Fangarm
tentacles Fuehler
tentacular Tentakel
tentative Versuchs
tentativeness Unsicherheit
tenterhook Spannhaken
tenterhooks Spannhaken
tents Zelte
tenuity Duennheit
tenuousness Duennheit
tenure Besitz
tenures Besitze
tepee Wigwam
tepees Indianerzelte
tepidity Lauheit
tepidness Lauheit
tequila Tequila
tergiversation Ausflucht
tergiversations Ausfluechte
term Bedingungen
termagant Zankteufel
terminal Terminal
terminals Terminals
terminating Beendigung
termination Beendigung
terminations Abschluesse
terminative End
terminator Abschlussprogramm
termini Endstationen
terminologies Terminologien
terminology Fachausdruecke
terminus Endstation
termites Termiten
terms Zeit
tern Gruppe
terns Gruppen
terra Land
terrace Terrasse
terraces Terrassen
terrain Terrain
terrapin Sumpfschildkroete
terrapins Dosenschildkroeten
terrestrial Erd
terrestrials Erdbewohner
terribleness Schrecklichkeit
terrier Terrier
territorially Grund
territories Gebiete
territory Gebiet
terror Schrecken
terrorism Terrorismus
terrorists Terroristen
terrors Schrecken
terseness Kuerze
tertiary Tertiaer
tessellation Mosaik
test Untersuchung
test-bench Pruefstand
testator Erblasser
testators Erblasser
testatrix Erblasserin
testatrixes Erblasserinnen
tester Pruefer
testicle Hode
testicles Hoden
testimonial Zeugnis
testimonials Zeugnisse
testimonies Zeugnisse
testimony Zeugnis
testiness Gereiztheit
testing Pruefung
testis Hoden
testosterone Testosteron
testudo Schildkroete
tetanus Starrkrampf
tether Haltegurt
tetrade Tetrade
tetrahedron Tetraeder
tetrameter Tetrameter
tetrameters Tetrameter
text Text
textbook Leitfaden
textbooks Lehrbuecher
textcolor Textfarbe
textile Textil
textiles Textilien
texts Texte
textual Text
texture Struktur
textures Gewebe
thalamic Sehhuegel
thalamus Sehhuegel
thank Dank
thankfulness Dankbarkeit
thanklessness Undankbarkeit
thanks Danke
thanksgiving Dankfest
thanksgivings Dankfeste
thanx Danke
thatch Dachstroh
thaw Tauwetter
theatre Theater
theatregoer Theaterbesucher
theatregoers Theaterbesucher
theatres Theater
theatricals Liebhaberauffuehrungen
theft Diebstahl
thefts Diebstaehle
theme Thema
themes Themen
theocracy Theokratie
theocrasies Theokratien
theocrasy Theokratie
theologian Theologe
theologians Theologen
theologies Theologien
theology Theologie
theorem Satz
theorems Lehrsaetze
theoretician Theoretiker
theoreticians Theoretiker
theoretist Theoretiker
theories Theorien
theorist Theoretiker
theorists Theoretiker
theory Theorie
theosophies Theosophien
theosophist Theosoph
theosophists Theosophen
theosophy Theosophie
therapeutics Therapeutik
therapies Therapien
therapist Therapeut
therapists Therapeuten
therapy Behandlung
thermal Waerme
thermally Waerme
thermocompression Waermedruckverfahren
thermocouple Thermoelement
thermocouples Thermoelemente
thermodynamics Thermodynamik
thermometer Thermometer
thermometers Thermometer
thermoplastic Thermoplast
thermoplastics Thermoplasten
thermos Thermos
thermosbottle Thermosflasche
thermosbottles Thermosflaschen
thermoses Thermosflaschen
thermosflask Thermosflasche
thermostat Temperaturregler
thermostats Thermostaten
thermoswitch Waermeschalter
thesauri Woerterbuecher
thesaurus Wortschatz
theses Thesen
thesis These
thews Muskeln
thiamine Thiamine
thicket Dickicht
thickets Dickichte
thickhead Dummkopf
thickness Dicke
thief Dieb
thieve Dieb
thieveries Diebe
thievery Diebstahl
thieves Diebe
thievishness Unehrlichkeit
thigh Schenkel
thighbone Schenkelknochen
thighbones Schenkelknochen
thighs Schenkel
thimble Fingerhut
thimbles Fingerhuete
thing Sache
things Dinge
think-tankUS Ideenfabrik
thinker Denker
thinkers Denker
thinness Duennheit
third Drittel
thirst Durst
thirstiness Durstigkeit
thistle Distel
thistledown Distelwolle
thistles Disteln
thole Ruderdolle
thong Riemen
thongs Riemen
thoracic Brust
thorax Brustkorb
thoraxes Brustkoerbe
thorn Dorn
thorniness Dornigkeit
thorns Dornen
thoroughbred Vollblueter
thoroughbreds Vollblueter
thoroughfar Durchgang
thoroughfare Verkehrsstrasse
thoroughfares Verkehrsstrassen
thoroughfars Durchgaenge
thoroughness Gruendlichkeit
thought Gedanke
thoughtfulness Nachdenklichkeit
thoughtlessness Gedankenlosigkeit
thousands Tausende
thrall Leibeigene
thralldom Knechtschaft
thralls Leibeigenen
thrasher Drescher
thrashing Ueberlastung
thread Faden
threadbareness Schaebigkeit
threads Faeden
threat Bedrohung
threats Drohungen
three-step Dreistufen
threesome Dreiergruppe
threshed Drescher
threshers Drescher
threshold Schwelle
thresholds Schwellen
thrift Sparsamkeit
thriftiness Sparsamkeiten
thriftlessness Verschwendung
thrifts Sparsamkeiten
thrill Nervenkitzel
thriller Krimi
thrillers Reisser
thrills Nervenkitzel
throat Hals
throatiness Rauhigkeit
throats Kehlen
throe Agonie
throes Geburtswehen
thrombose Thrombose
thromboses Thrombosen
thrombus Pfropf
throne Thron
thrones Throne
throng Zulauf
throstle Drossel
throstles Drosseln
through-connection Durchkontaktierung
throughout Durchweg
throughput Durchsatz
throw Wurf
throw-off Auswurf
throwbacks Rueckschlaege
throwdown Schiedsrichterball
throwdowns Schiedsrichterbaelle
thrower Werfer
throwers Werfer
thrush Drossel
thrushes Drosseln
thrust Druck
thrust-reverser Schubumkehr-Vorrichtung
thruster Stosser
thrusters Stosser
thrusting Stichwaffe
thrustings Stichwaffen
thrusts Schubkraefte
thruway Autobahn
thruways Autobahnen
thu Don
thug Verbrecher
thugs Strolche
thumb Daumen
thumbnail Daumennagel
thumbnails Daumennaegel
thumbs Daumen
thumbscrew Daumenschraube
thumbscrews Daumenschrauben
thumbtack Reissnagel
thumbtacks Reissnaegel
thump Bums
thumper Mordsding
thunder Donner
thunder-storm Gewitter
thunderbolt Blitz
thunderbolts Gewitter
thunderclap Donnerschlag
thunderclaps Donnerschlaege
thundercloud Gewitterwolke
thunderclouds Gewitterwolken
thunderously Gewitterschwuele
thundershower Gewitterregen
thunderstorm Gewitter
Thuringia Thueringen
Thursday Donnerstag
thyme Thymian
thymus Thymus
thymuses Thymen
thyristor Thyristor
thyroid Schilddruese
thyroids Schilddruesen
tiara Pabstkrone
tibia Schienbein
tibias Schienbeine
tic Spleen
ticker Uhr
tickers Uhren
ticket Karte
ticketing Buchung
tickets Scheine
ticking Drell
tickler Notizbuch
ticklers Notizbuecher
tics Ticks
tidal Flut
tide Ebbe
tideland Watt
tidelands Watten
tides Ebben
tidiness Ordnung
tidings Nachricht
tie Band
tiepin Krawattennadel
tier Reihe
tiers Reihen
ties Baender
tiff Kabbelei
tiffin Mittagessen
tiffins Mittagessen
tiffs Kabbeleien
tiger Tiger
tigerishness Wildheit
tigers Tiger
tightness Festigkeit
tightrope Seil
tightropes Seile
tights Strumpfhose
tightwad Geizkragen
tigress Tigerin
tigresses Tigerinnen
tilde Tilde
tildes Tilden
tile Dachziegel
tiler Dachdecker
tilers Dachdecker
tiles Dachziegel
tillage Ackerbau
tillages Bestellungen
tilt Hoechstleistung
tilth Ackerbau
timbal Pauke
timber Balken
timberland Waldland
timberline Baumgrenze
timberlines Baumgrenzen
timbers Bauhoelzer
timbre Klangfarbe
timbrel Tamburin
timbrels Tamburine
timbres Klangfarben
time Zeit
time-out Unterbrechung
time-sharing Teilnehmerverfahren
time-table Fahrplan
time-waster Zeitvergeuder
timekeeper Zeitmesser
timekeepers Zeitmessern
timelessness Zeitlosigkeit
timeliness Puenktlichkeit
timeout Zeitueberschreitung
timepiece Uhr
timepieces Uhren
timer Timer
timers Zeitmesser
times Zeiten
timeserver Opportunist
timeservers Opportunisten
timetable Fahrplan
timetables Stundenplaene
timidity Furchtsamkeit
timidness Aengstlichkeit
timing Zeitaufnahme
timings Zeiteinteilungen
timorousness Furchtsamkeiten
timpani Kesselpauken
timpanist Paukist
timpanists Paukisten
timpano Kesselpauke
tin Dose
tin-solder Loetzinn
tinamou Pampashuhn
tincture Tinktur
tinctures Tinkturen
tinder Zunder
tinderbox Zunderbuechse
tinderboxes Zunderbuechsen
tine Zacke
tinfoil Stanniol
tinge Toenung
tinges Toenungen
tininess Winzigkeit
tinkling Gebimmel
tinplate Weissblech
tinplates Weissbleche
tins Dosen
tinsel Lametta
tinsmith Blechschmied
tinsmiths Blechschmiede
tint Farbe
tintinnabulation Toenen
tinware Blechgeschirr
tip Hinweis
tipcart Kippkarren
tipper Lore
tippers Kippwagen
tippet Pelerine
tippets Pelerinen
tippler Saeufer
tipplers Saeufer
tips Hinweise
tipsiness Schwips
tirade Tirade
tirades Tiraden
tireUS Reifen
tiredness Muedigkeit
tirelessness Unermuedlichkeit
tires Bereifung
tiresomeness Ermuedlichkeit
tiro Anfaenger
tissue Gewebe
tissues Gewebe
toad Kroete
toadflax Leinkraut
toads Kroeten
toadstool Fliegenpilz
toadstools Giftpilze
toady Kriecher
toadyism Speichelleckerei
toast Roestbrot
toasters Toaster
toastmaster Toastmeister
toastmasters Toastmeister
toasts Tischreden
tobacco Tabak
tobacconist Tabakhaendler
tobacconist's Tabakwarenladen
tobacconists Tabakhaendler
tobaccos Rauchwaren
toboggan Schlitten
toboggans Schlitten
tocsin Sturmglocke
tocsins Sturmglocken
today Heute
toddies Grogs
toddy Grog
toe Zehe
toehold Brueckenkopf
toeholds Brueckenkoepfe
toenail Zehennagel
toenails Zehennaegel
toes Zehen
toffee Sahnebonbon
toffees Sahnebonbons
toffies Sahnebonbons
toffy Sahnebonbon
togetherness Einheitlichkeit
toggle Umschalter
togs Klamotte
toiler Arbeiter
toilet Toilette
toiletry Toilettensache
toilets Toiletten
toilsomeness Muehseligkeit
toke Puff
token Zeichen
tolerableness Ertraeglichkeit
tolerance Toleranz
toleration Duldung
toll Gebuehr
tollage Zollabgabe
tollbooth Mautstelle
tollbooths Mautstellen
tollgate Mautschlagbaum
tollgates Mautschlagbaeume
tolls Autobahngebuehren
toluene Steinkohlenteeroel
tomahawk Tomahawk
tomahawks Tomahawks
tomato Tomate
tomatoes Tomaten
tomb Grab
tombac Tombak
tomboy Range
tomboys Rangen
tombs Graeber
tombstone Grabstein
tombstones Grabsteine
tomcat Kater
tome Waelzer
tomfool Einfaltspinsel
tomfooleries Schwabenstreiche
tomfoolery Albernheit
tomfools Einfaltspinsel
tomography Schichtaufnahme
tomtom Tamtam
tonality Tonalitaet
tone Ton
tones Toene
tongs Zange
tongue Sprache
tongues Zungen
tonic Staerkungsmittel
tonicity Spannkraft
tonics Staerkungsmittel
tonnage Tonnage
tons Tonnen
tonsillectomies Mandelentfernungen
tonsillectomy Mandelentfernung
tonsillitis Mandelentzuendung
tonsils Mandeln
tonsure Tonsur
tonsures Tonsuren
tool Geraet
toolbox Werkzeugkasten
toolboxes Werkzeugkaesten
toolmaker Werkzeugmacher
toolmakers Werkzeugmacher
tools Schluessel
tooth Zahn
tooth-brush Zahnbuerste
toothache Zahnschmerzen
toothaches Zahnschmerzen
toothbrush Zahnbuerste
toothbrushes Zahnbuersten
toothpaste Zahnpaste
toothpastes Zahnpasten
toothpick Zahnstocher
toothpicks Zahnstocher
top Anfang
topaz Topas
topcoat Ueberzieher
tope Glatthai
topee Tropenhelm
toper Zecher
topers Zecher
tophat Zylinder
tophats Zylinder
topic Thema
topics Themen
topknot Haarknoten
topknots Haarknoten
topline Kopfzeile
topmast Strenge
topmasts Toppmaste
topographer Topograph
topographers Topographen
topographies Ortsbeschreibungen
topography Topographie
topologist Topologe
topologists Topologen
topology Topologie
topper Schaustueck
toppers Schaustuecke
topping Garnierung
toppings Garnierungen
tops Oberteile
topsail Marssegel
topside Oberseite
topsoil Obererde
topview Draufsicht
torch Fackel
torchBrit Taschenlampe
torchUS Brandstifter
torchbearer Fackeltraeger
torchbearers Fackeltraeger
torches Fackeln
torchlight Fackelschein
torchlights Fackelscheine
toreador Stierfechter
toreadors Stierfechter
torero Stierkaempfer
torment Qual
tormentor Quaeler
tormentors Quaeler
torments Qualen
tornado Tornado
tornadoes Tornados
tornados Tornados
torpidity Betaeubung
torpidness Traegheit
torpidor Erstarrung
torpor Erstarrung
torque Drehmoment
torques Drehmomente
torrent Sturzbach
torrents Sturzbaeche
torridness Verbrennung
torsion Verdrehung
torsional Drehmoment
torsionally Verdrillung
torsions Verdrehungen
tort Schadensersatzrecht
tortoise Landschildkroete
tortoises Landschildkroeten
torts Schadensersatzrechte
tortuousness Folterung
torture Folter
torturechamber Folterkammer
torturechambers Folterkammern
torturer Folterknecht
torturers Folterknechte
tortures Folterqualen
torus Ring
tory Tory
toss-up Platzwahl
tossup Loswurf
tossups Loswuerfe
tot Kerlchen
total Gesamtbetrag
totalities Gesamtheiten
totality Gesamtheit
totalizer Totalisator
totalizers Totalisatoren
totals Summen
totems Totems
tots Knirpse
touch Beruehrung
touch-screen Beruehrungsbildschirm
touchiness Empfindlichkeit
touchstone Probierstein
touchstones Probiersteine
tougher Willensstaerke
toughness Haerte
toughs Gauner
toupee Toupet
toupees Toupets
tour Tour
tourism Fremdenverkehr
tourist Tourist
tourists Touristen
tours Touren
tow Werg
towel Handtuch
towels Handtuecher
tower Turm
towers Tuerme
towline Treidelleine
towlines Treidelleinen
town Stadt
townhall Rathaus
townmajor Stadtkommandant
townmajors Stadtkommandanten
towns Staedte
townscape Stadtbild
townscapes Stadtbilder
townsfolk Stadtleute
township Gemeinde
townships Gemeinden
townsman Buerger
townsmen Buerger
townspeople Stadtbewohner
towpath Leinpfad
towpaths Leinpfade
towrope Abschleppseil
toxicities Giftstoffe
toxicity Giftstoff
toxicologist Toxikologe
toxicologists Toxikologen
toxicology Toxikologie
toxin Gift
toxins Gifte
toy Spielzeug
toys Spielsachen
trace Spur
tracer Ablaufverfolger
traces Spuren
trachea Luftroehre
tracheae Luftroehren
tracheotomies Luftroehreschnitte
tracheotomy Luftroehenschnitt
trachoma Bindehautenzuendung
tracing Verfolgung
track Spur
trackUS Bahnstrecke
trackage Schienen
tracker Aufspuerer
trackers Aufspuerer
tracking Nachfuehren
tracks Spuren
tracksuit Trainingsanzug
tracksuits Trainingsanzuege
tract Teil
tractability Lenkbarkeit
tractableness Gefuegigkeit
traction Zug
tractive Zug
tractor Traktor
tractors Traktoren
tracts Teile
trade Geschaeft
trade-union Gewerkschaft
trade-unionism Gewerkschaftswesen
trademark Marke
trademarks Handelsmarke
tradename Warenzeichen
tradeoff Tausch
trader Haendler
tradesman Geschaeftsmann
tradesmen Geschaeftsleute
tradeunion Gewerkschaft
tradeunionist Gewerkschaftler
tradeunionists Gewerkschaftler
trading Handels
tradition Tradition
traditions Traditionen
traducement Verleumdung
traducements Verleumdungen
traffic Verkehr
trafficking Handel
tragedian Tragiker
tragedians Tragiker
tragedies Tragiken
tragedy Tragoedie
tragicomedies Tragikomoedien
tragicomedy Tragikomoedie
trail Pfad
trailer Anhaenger
trailers Anhaenger
trails Pfade
train Zug
trainee Auszubildende
trainees Lehrlinge
traineeship Praktikum
trainer Trainer
trainers Trainer
training Ausbildung
trainings Ausbildungen
trains Zuege
trait Zug
traitor Verraeter
traitors Verraeter
traitress Verraeterin
traitresses Verraeterinnen
traits Zuege
trajectories Flugbahnen
trajectory Flugbahn
tram Bahn
tramp Landstreicher
trampling Getrampel
trampoline Trampolin
trampolines Trampoline
tramps Landstreicher
trams Bahnen
tramway Strassenbahn
tramways Strassenbahnen
trance Trance
trances Trancen
tranquility Ruhe
tranquillity Ruhe
tranquillizer Beruhigungsmittel
tranquillizers Beruhigungsmittel
tranquilness Ruhe
tranquilnesses Ruhen
transaction Durchfuehrung
transactions Unternehmungen
transceiver Empfaenger
transcendence Ueberlegenheit
